frontUserName,content,createTime,commentReplyVO,memberLevel,appendCommentVO,star,itemId,color,size
甜****鱼,还不错。内衣质量确实很好。粉丝节购买也很划算。这个内衣聚拢效果是很棒的，不输给一线大牌的黛安芬之类的内衣。,1555082067361,,4,,5,1616018,深杏色,80B
苏****,果然双倍的价格品质确实不一样哦。比之前买的99款更贴身和收乳。么么哒,1539489835441,,5,,5,1616018,深杏色,75C
1****8,产品刚收到，尺码很合适，愉快的购物体验。,1562814865476,,3,,5,1616018,黑色,80B
1****7,亲肤，聚拢效果非常棒,1562825790473,,4,,5,1616018,深杏色,80B
W****r,穿着舒适，就像穿着一件内衣背心一样，赞👍,1560407074585,,4,,5,1616018,深杏色,80C
1****4,非常舒服，开心,1562588229622,,5,,5,1616018,深杏色,85C
1****4,非常舒服～棒,1562588211248,,5,,5,1616018,黑色,85C
m****0,第二次购买，塑型和面料柔软度都比优衣库好！,1559612762158,,3,,5,1616018,黑色,85C
大****,收到,1561705655447,,6,,5,1616018,黑色,80B
问****,,1561534415135,,3,,5,1616018,深杏色,85C
于****,买了第三个了,1561374472401,,5,,5,1616018,深杏色,85C
马****彦,一直很关注胸衣，因为自己大胸，每次都要去实体店试了。这次看严选上可以退换，抱着试一下的心态，最大号可以穿。很喜欢，等一段时间看看效果,1560826363095,,4,,5,1616018,深杏色,85C
W****r,连续四天连着买，穿的服帖真棒👍,1560520664247,,4,,5,1616018,黑色,80C
古****涯,都收到啦，很开心，衣裤收到都合适，满意！,1560762315821,,5,,5,1616018,深杏色,75B
m****0,第三次购买，确实不错,1560869683745,,5,,5,1616018,黑色,80B
t****x,客观的说，真的是我穿过的最舒服的内衣咯。,1558539823589,,5,,5,1616018,黑色,75B
王****,这个不太理想，码有点小，穿着紧不太舒服，聚拢效果不错，做工真心不错,1546228386551,,3,,5,1616018,深杏色,80B
程****乐,舒服好穿，推荐,1560781942260,,5,,5,1616018,深杏色,75C
1****1,喜欢,1560778046071,,4,,5,1616018,黑色,75C
A****）,蛮好,1560675258910,,5,,5,1616018,黑色,80C
于****,第二件了，满意,1560169548038,,5,,5,1616018,深杏色,85C
1****2,,1560079725001,,5,,5,1616018,深杏色,75B
1****1,好,1559959336260,,5,,5,1616018,深杏色,75A
1****3,戴上合适，155厘米47公斤,1559884914909,,6,"{'id': 82771326, 'createTime': 1560219563930, 'content': '带上舒服', 'picList': [], 'commentReplyVO': None}",5,1616018,深杏色,75A
m****1,严选的东西就是好，回购的,1559538847341,,5,,5,1616018,深杏色,85B
1****3,回购的，东西很好，期待更多、更好的选择。,1558276206998,,4,,5,1616018,深杏色,85B
有****米,收到包装很好,1559452918952,,5,,5,1616018,黑色,80B
1****3,很好穿，会回购的,1558704075244,,6,,5,1616018,黑色,85C
t****x,非常喜欢。没错，非常！,1558599945304,,5,,5,1616018,深杏色,75B
向****葵,不错试穿了一下很好，就是有点小贵,1558176439023,,5,,5,1616018,深杏色,75A
杨****,非常满意！非常满意！非常满意！尺码很合身,1557492559304,,5,,5,1616018,黑色,75C
1****0,,1557502533418,,4,,5,1616018,黑色,85B
w****n,第二件了！聚拢效果好！,1556790148244,,5,,5,1616018,深杏色,75B
精****计,喜欢严选，快递太给力了，试穿过了很舒服，面料柔软，下次再来,1555372775508,,4,"{'id': 76183059, 'createTime': 1555724866509, 'content': '一点都不勒，很舒服，', 'picList': ['https://yanxuan.nosdn.127.net/de2f3596bcf7b4f754cad8e661267480.jpg', 'https://yanxuan.nosdn.127.net/14b668e58df75832bf8f0e4e1d73f416.jpg', 'https://yanxuan.nosdn.127.net/28ea2fad5cbb522a7b6a26ac1025d076.jpg'], 'commentReplyVO': None}",5,1616018,深杏色,75A
w****n,穿着很舒服，不错哈！,1555540886733,,5,,5,1616018,深杏色,75B
1****9,颜色好看，号码标准，穿的正合适，开心。5颗星,1554605858159,,5,,5,1616018,深杏色,80C
朕****了,挺好的，两个颜色都买了,1554679382346,,4,,5,1616018,深杏色,85C
燕****,非常好哦，第三次回购了,1554634600851,,6,,5,1616018,深杏色,75B
1****9,非常不错,1552729822976,,3,,5,1616018,深杏色,75B
1****9,不错，舒适。,1552686868944,,5,"{'id': 73248780, 'createTime': 1552744559567, 'content': '', 'picList': ['https://yanxuan.nosdn.127.net/c5c66e1e30392d29e04d04a307417008.jpg', 'https://yanxuan.nosdn.127.net/fa93628c75271a78b1d6e0bad1c4e164.jpg'], 'commentReplyVO': None}",5,1616018,深杏色,75B
1****5,"神速度物流，京东快递员牛。
商家给力。",1551087256227,,5,,5,1616018,深杏色,85C
1****5,质量不用说，真的很舒服，没有一点紧绷感，,1551603032527,,4,,5,1616018,深杏色,75B
9****0,好穿，也很合适,1551269570343,,5,,5,1616018,深杏色,80A
1****6,好穿，手感好，有型,1550308990455,,4,,5,1616018,深杏色,75B
x****n,hoho,1550144979097,,4,,5,1616018,黑色,85B
蔡****惠,非常细腻舒适，一如既往的爱严选对东西，双十一快递速度也是一如既往的快。,1542270372710,,4,,5,1616018,深杏色,80A
1****7,还不错,1548502958208,,3,,5,1616018,黑色,80B
海****心,不错不错不错,1547336587536,,6,,5,1616018,黑色,75A
1****5,笫二次买了很不错。,1543658694123,,5,,5,1616018,黑色,80B
g****r,看评价很好，严选的东西一直有保证,1542111600153,,4,,5,1616018,黑色,80B
A****5,很柔软,1541754942037,,6,,5,1616018,黑色,85B
L****n,舒适，不错的,1540395718795,,5,,5,1616018,深杏色,80B
m****3,,1539581848678,,5,,5,1616018,深杏色,80B
淸****,"质量还不错，就是自己其实
应该买薄款",1539046082599,,3,,5,1616018,黑色,80B
